,id,main,reply,target,stance_target_47,stance_target_54,stance_target_55,stance_target_67,stance_target_70,stance_target_71,stance_target_73,stance_target_79,majority,label
4035,4968,"""لكل ظالم لكل من شاف نفسه لكل من تجبر وحس انه قوي هذا ملك من ملوك الارض  اسمع وش يقول <span class=""stance-tagging"">#الملك_سلمان_بن_عبدالعزيز</span>  الله يحفظك ويطول بعمرك  https://t.co/QXmjfV1zhm""",@fayez_malki الان اقوي مرهم KSA مرهم جل ماكس مان الخيار الافضل 💯  كريم ماكس مان   لعلاج الضعف الجنسي   وتأخير القذف  صلابة /متانة/ شدة 💯  للطلب واتساب في الحساب الرسمي @yessicabisio14 BCc,الملك سلمان بن عبدالعزيز,,,comment,,comment,,,,comment,2.0
6133,31021,"""<span class=""stance-tagging"">تركي آل الشيخ</span> يعلن تبرعه لأسرة كل متوفى في حـادث قطاري سوهاج بصعيد مصر، بمبلغ 100 ألف جنيه مصري. https://t.co/IwqWCGUn1a""",@News_Brk24 يا رب أنا ما كنتش في القطار ليش😭😭,تركي آل الشيخ,,,,,comment,,,comment,comment,2.0
3225,4085,"""تغريدة القائد السيد <span class=""stance-tagging"">مقتدى الصدر</span> حول مشاركة التيار الصدري في الانتخابات ٢٠٢٠/١١/٢٢  اليوتيوب: https://t.co/tllUKMGMhi  الموقع الرسمي: https://t.co/KxEIzIbeeY https://t.co/PHYQQQaYBv""",@salih_m_iraqi استعدوا يا اخوه المقتدى لخوض الانتخابات بكل ما اوتيتم من قوه,مقتدى الصدر,comment,,support,support,,,,,support,0.0
885,1345,"""#عاجل : مصادر : #<span class=""stance-tagging"">السلطة_الفلسطينية</span> التي يترأسها #محمود_عباس قامت ببيع سيارات الدفاع المدني التي تبرعت بها #السعودية .  2 من السيارات تم بيعها لمستوطنة بركان في الضفة الغربية  #فلسطين #الاردن #مصر #البحرين #الامارات #الكويت #العراق #الطقس #السيسي #اليمن #ايران #مجموعه_العشرين #قطر https://t.co/OoQkZdthN2""",@shfanews_net هذولا القوم اعتادوا على السرقة لذلك لا يستغرب عليهم إن فعلوا ذلك جيناتهم الخبيثة لا تساعدهم على الاعتراف بالجميل ولايهتمون بمعانة الشعب الفلسطيني فكل مايعطى للشعب الفلسطيني من مساعدات يعتبرها محمود عباس والكمبرس المحيط به املاك تخصهم هم فقط وهم يقررون كيفية التصرف,السلطة الفلسطينية,deny,,deny,,deny,,,,deny,1.0
2942,3748,"""<span class=""stance-tagging"">وزير المالية</span>:  ليس هناك حالياً أي خطة لإعادة النظر في قيمة الضريبة المضافة.""",@SaudiNews50 انت كذاب ليه الطبله انفقعت 🤣🤣😅😅😅,وزير المالية,deny,,deny,deny,,,,,deny,1.0
2465,3246,"""وزير التعليم:  لم يعد التعليم يستلزم 12 سنة في ظل وجود <span class=""stance-tagging"">التعلم الإلكتروني</span>.""",@SaudiNews50 من جد 12 فوقها تخصص جامعه شوف متى تتخرج ومتى يوظفونك ومتى تفتح بيت والاهم متى تشتري سياره؟؟ على ماتزبط هاذا كله يكون عمر الفرد 28 الى 30 او حسب الظروف!! اقترح يكون التعليم يتطور بمجرد التخرج من الثانويه يكون القدره للشخص الحصول على شهاده توفل من ضمن المنهج الدراسي ورخصه حاسب الي,التعلم الإلكتروني,comment,,,comment,deny,,,,comment,2.0
6753,31852,"""عاجل 🔴  .  . <span class=""stance-tagging"">وزير الاتصالات</span> :   المملكة العربية السعودية اليوم في المرتبة الثانية عالمياً في تقنية 5 جي. .  . السعودية 🇸🇦🇸🇦""",@AJELNEWS24 انا اشهد 👍🏻,وزير الاتصالات,,,,,support,,,support,support,0.0
2261,2899,"""في يوم تاريخي ..  المملكة تقود العالم ..  وترأس قمة العشرين بالرياض..  <span class=""stance-tagging"">السعودية</span> العظمى فخر وعز وقمة . 🇸🇦🇸🇦🇸🇦 .  . #<span class=""stance-tagging"">السعودية</span>_ترحب_بقادة_العشرين #G20SaudiArabia https://t.co/6bsSVuOhki""",@malgazlanksa #G20SaudiArabia  قمة استثنائية في وقت استثنائي وفي بلدٍ استثنائي 🇸🇦  نشاهد كل انظار العالم تتجه إلى العاصمة الرياض قائدة القرار السياسي العربي وصانعة القرار العالمي 🇸🇦 #السعودية_ترحب_بقادة_العشرين https://t.co/jMZUjFZQYZ,السعودية,support,,support,,,,,,support,0.0
1938,2487,"""برأيك.. هل تعتقد أن الفنان <span class=""stance-tagging"">#محمد_رمضان</span> لم يعرف هوية من قاموا بالتصوير معه؟ https://t.co/YCrTyLrQUP""",@AlMasryAlYoum عبط احنا يا عصام,محمد رمضان,comment,,deny,,comment,,,,comment,2.0
10,16,"""#قمة_العشرين  #الرياض_عاصمة_القرار لا نتدخل بشؤون احد ولا نرضى بأن يتدخل احد في شؤوننا هنا العز هنا الفخر انظار العالم تتوجه لعاصمة القرار رياض العز  حفظ الله <span class=""stance-tagging"">خادم البيتين</span> وولي عهده اللهم احفظ السعوديه حكامها وشعبها الوفي الأبي  #يابلادي_واصلي https://t.co/22BOU7OSiN""",@abinbandr2 اللهم امين يارب العالمين,خادم البيتين,comment,comment,,,,,,,comment,2.0
2357,3078,"""<span class=""stance-tagging"">#الهلال</span>_النصر قبل مباراه المنتخب امام جامايكا لاعب <span class=""stance-tagging"">#الهلال</span> سالم الدوسري عنده اصابه خلع في الكتف واصابه عضليه والآن قبل الديربي يتمرن حديد ماذا يحصل ؟ https://t.co/KZctzwogFY""",@o2a_y اييه عشان يجيب فيكم هدف مصخره زي قبل العام الماضي كل القنوات الاجنبية تكلمت فيه وقدام اصيفر الرياض يلعن امم الفشلة 🤣🤣,الهلال,comment,,,comment,comment,,,,comment,2.0
3686,4590,كيف  وصل  محمود عباس  ميرزا ( البهائي )   إلى  زعامة  حركة  مقاومه كبيره  بحجم  ( فتح ) ؟  أين  الشعب  الفلسطيني   ومجلسه التشريعي وقوافل   الشهداء  المنضوين   تحت   جميع  الفصائل   الفلسطينيه  من كل ذلك ؟,@DrAlnefisi عرف هذا المحتال المخرب ان الحل للقضية الفلسطينية اقترب وان هناك تفاهمات على اساس مبادرة  قمة بيروت 2002 وبدأ بتشويه صورة القيادة الفلسطينية لصالح مخطط الاخونج الفاشل / وينك يالنفيسي من قبل ؟ الان اكتشفت ان ابو مازن بهائي ؟,محمود عباس  ميرزا ( البهائي ),deny,deny,,support,,,,,deny,1.0
2134,2699,"""ورجل مباراة اليوم هو <span class=""stance-tagging"">أسامة فيصل</span>. 🏹👏 https://t.co/eGdHysLv7D""",@ZSCOfficial اسامه فيصل الغد المشرق لهجوم للزمالك ولاد النادي,أسامة فيصل,support,,support,,support,,,,support,0.0
606,1013,"""خرج اليوم من المستشفى الإبن الغالي صاحب القلب الطيب <span class=""stance-tagging"">مروان بن عبدالحكيم بن محمد بن عبدالكريم العبدالله العبدالعزيز المشيقح</span> والذي تبرع لي بجزء من كبده أسأل الله العلي القدير ان يتمم عليه صحته وان يبارك له في حياته""",@almshaiqh الحمد لله على سلامة الأبن مروان وكتب ماقدم في ميزان حسناته وشفاك الله ياابوتركي ومتعك بالصحة والعافية والعمر المديد 🤲💐,مروان بن عبدالحكيم بن محمد بن عبدالكريم العبدالله العبدالعزيز المشيقح,support,,,,support,,,,support,0.0
2390,3112,"""إعلان المجلس الأعلى للبترول برئاسة <span class=""stance-tagging"">محمد بن زايد</span> اكتشاف كميات ضخمة من النفط الخام التقليدي وموارد النفط غير التقليدية، يعزز حضور الدولة في هذه السوق الحيوية ويرفع رصيد ثروتها النفطية مما ينعكس إيجاباً على الدورة الاقتصادية ويزيد من نشاط حركة التنمية. مبارك هذا الاكتشاف الكبير. https://t.co/JNVt7plmsL""",@HazzaBinZayed @SBAlketbi نحمد الله حمد كثيرا على نعمه وندعو الله أن يديمها ويحفظ إمارات الخير,محمد بن زايد,comment,,support,support,,,,,support,0.0
3905,4802,"""١٢.٣٠ صباحا بعد الديوانية .. اعادة لمباراة الهلال والنصر الجولة ٢٢ من ختام <span class=""stance-tagging"">الدوري السعودي</span> لموسم ١٤٠٥-١٤٠٦ وفيها تم تتويج الهلال بلقب <span class=""stance-tagging"">الدوري السعودي</span> الممتاز.. 🛑 مين يتذكر كم كانت نتيجة المباراة .. https://t.co/xVdWrEY6VI""",@ganem_q @riyadiyatv الاخ غانم يمثل التوجه الكروي الطبيعي في حصر الكرة السعودية بقطبي الوسطى وهي حالة متأصلة لم ينقذها الا الاهلي والاتحاد بأواخر التسعينات حتى عدنا على ما نحن عليه من حصر كرتنا بازرقها المدلل واصفرها المحبب !!,الدوري السعودي,,support,,comment,comment,,,,comment,2.0
6069,30944,"""انفاذًا للأمر الملكي..<span class=""stance-tagging"">جامعة الملك سعود:</span>  بداية الاختبارات النهائية حضوريًا في 13 رمضان عند الساعة التاسعة صباحًا،وبداية الإجازة 24 رمضان.""",@SaudiNews50 خلوه عن بعد ترانا ب 2021 كل شي إلكتروني جت على اختبار ورقه في كم سؤال شدعوا,جامعة الملك سعود:,,,,,deny,,,deny,deny,1.0
2426,3206,"""هل دعوات العرب و<span class=""stance-tagging"">الفرس</span> منذ عقود ضد اسرائيل مستجابة عند الله عز وجل؟ صار لهم ٧٠ سنة يدعون على اليهود وعلى اسرائيل.""",@EdyCohen ٢) الايرانيون صرتم ترهبونهم من دون دعواتهم بعد سقوط الشاه الكورشي اما الاعراب فهم لو كانوا يدعون عليكم لما رمى عيال زايد و ال خليفة والسوداني والسي سي و ال سعود على الطريق انفسهم في احضان الزنيم نتن ياهوا ولما تملقت انت المنافق لعيال الفجور في الامارات /,الفرس,support,,support,support,,,,,support,0.0
2809,3599,"""أما خلافنا مع مليشيات <span class=""stance-tagging"">الحوثي</span> حسن ايرلو إيران فلن يحل إلا بالقضاء على هذه المليشيات أو ترجع إلى صوابها. بفضل الله ثم بجهود وتضحيات القوات المسلحة والمقاومة والقبائل المساندة. والدعم السخي من المملكة العربية السعودية حفظها الله من أجل عودة الأمن والاستقرار لليمن الأرض والإنسان.""",@AzizSagheir ذاحين انت في الميدان ولا بتغرد وتأنتر. ولا فلت الجبهه وجيت تدور الدعم السخي. سابر اهم شي. تعين لك سفير ترتبط به. لأن أل جابر قد معه خيرات.,الحوثي,comment,,,comment,comment,,,,comment,2.0
1943,2493,"""برأيك.. هل تعتقد أن الفنان <span class=""stance-tagging"">#محمد_رمضان</span> لم يعرف هوية من قاموا بالتصوير معه؟ https://t.co/YCrTyLrQUP""",@AlMasryAlYoum محمد رمضان يعلم وهو دائما يقوم بالأعمال أو التصرفات اللي فيها جدل علشان يشد الآراء والاعلام والشارع له,محمد رمضان,comment,,deny,,comment,,,,comment,2.0
1566,2107,"""من يقف وراء تسريب فيديو لملك #السعودية <span class=""stance-tagging"">#سلمان_بن_عبدالعزيز</span> وهو لا يذكر إن كان قد حضر #قمة_العشرين في #اليابان قبل عام ام لا ؟ من يريد إحراج الملك ؟ https://t.co/BDPyyHm73v""",@Haitham_A_S رد عليه ابنه انا رحت نيابة عنك بس اعتقد مايدري عن القمه اللي باليابان..  عموماً عيب من صور المقطع ونشره واكيد وراه شي,سلمان بن عبدالعزيز,comment,,support,,comment,,,,comment,2.0
1580,2122,"""باراك اوباما في كتابه الجديد أرض الميعاد يصف ولي عهد أبوظبي الشيخ <span class=""stance-tagging"">محمد بن زايد</span> بانه شاب محنك وربما أذكى زعيم في الخليج https://t.co/dNmo9ZagCi""",@Abdulkhaleq_UAE انت تحمل دكتوراة في التزييف والتضليل الخليج له رجاله ولكل مقام مقال ولكل جواب عنوان يا عبد الخالق والله ثم والله ثم والله لولا السعودية بعد الله ماكنت في مكانك وما كنت تغرد وتتبطح من طعس لطعس احمد الله واشكر فضله ان جعلك تسكن الخليج في ضل هذه الدولة والا كنت تلبس وزرة في كيرلا,محمد بن زايد,comment,,support,,comment,,,,comment,2.0
5355,11668,"""#مشروع_ذا_لاين <span class=""stance-tagging"">ولي العهد #الأمير_محمد_بن_سلمان</span> يطلق مشروع يحاكي المستقبل ويرفع السقف عالياً امام كل مدن العالم🇸🇦""",#مشروع_ذا_لاين ولي العهد #الأمير_محمد_بن_سلمان يطلق مشروع يحاكي المستقبل ويرفع السقف عالياً امام كل مدن العالم🇸🇦,ولي العهد الأمير محمد بن سلمان,,,,,comment,,,comment,comment,2.0
453,851,"""السلام عليكم بمناسبة نجاح قمة ال ٢٠ بقيادة <span class=""stance-tagging"">خادم الحرمين الشريفي</span>ن وولي عهده الأمين حفظهم الله وسدد خطاهم انزل هديه متواضعه ٢٠٠ ريال مقسمه على ٤ بدون شروط فالكَم الفوز. تفضلوا""",@vABJHS5jTwD9FRX 🌿أعوذ بالله من طول التمني، وحرمان الوصول، اللهُم إني أعوذ بك من زحام يتبعه ندم، ومن كلام يجُره الغضب، ومن اندفاع المشاعر وقلة الحيلة، اللهُم القوة إن أهلكتنا الحياة، اللهُم سعادة تملأ الفؤاد، وأمان يعانق الروح وفرحة لم تكُن بالحُسبان، وصلي اللهم على سيدنا محمد,خادم الحرمين الشريفي,comment,,,,comment,,,,comment,2.0
2162,2729,"""لن يستطيعوا هزيمة <span class=""stance-tagging"">الهلال</span> أو التعادل معه إلا بتدخل (..............)  إليكم بعض الأمثله من آخر موسمين فقط: 1-خرج بالتعادل بعد ان تجاهل الحكم ضربة جزاء واضحة للفرج ليذهب ويطرد كاريللو. 2-من بلنتي واضح لسالم لطرد محمد كنو . 3- قبل تسجيل الهدف تواجد بالملعب 12 لاعب 🤦🏻‍♂️ https://t.co/Mtwy2eRicL""",@A0500A50 حسبي الله ونعم الوكيل عليهم لاوفق الله حكم لايخاف الله تعالى ولايعرف العداله والحق وبعون الله تعالى عقابه بنفس لحظة ظلمه للهلال,الهلال,comment,,support,,support,,,,support,0.0
3878,4773,"""على مدار الايام اللي فاتت كل يوم هاشتاج اهلاوي بيتصدر تويتر بدعم لاعب اهلاوي ومطالبته بالتاسعة. انهاردة هاشتاج موسيماني في الترند على مستوى العالم وبيتصدر الترند في مصر بحوالي مليون تويتة. شكرا جمهور <span class=""stance-tagging"">الأهلي</span> اللي بيحاول يوصل صوته بأي شكل شكرا لكل واحد فيكم   #Ninth_star_Mosimane""",@hamadaahly61 يارجالة دي قناتي على اليوتيوب اتمنا منك الدعم والاشتراك في القناة وعلي حب الاهلي اجمعنا⁦❤️⁩ https://t.co/tJcq7Okv4n,الأهلي,,support,,comment,support,,,,support,0.0
2293,3004,"""برئاسة <span class=""stance-tagging"">#محمد_بن_زايد</span>..المجلس الأعلى للبترول يعلن اكتشاف 2 مليار برميل من النفط الخام التقليدي و22 مليار برميل من موارد النفط غير التقليدية القابلة للاستخلاص. #وام  للتفاصيل: https://t.co/N9Q9zD42Dr https://t.co/ivko78xkXf""",@wamnews اللهم لك الحمد والمنة ، شكرا قادتنا شكرا #ادنوك . نفخر بكم وبجهودكم #محمد_بن_زايد #ابوظبي @AdnocGroup,محمد بن زايد,support,,support,,,,,,support,0.0
5887,30689,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC ابيع ساعات شبيه لساعات ابل طبق الاصل وهذا دخلي الوحيد بعد الله اتمنى الدعم ولو لايك شوفو حسابي ان شاء الله يعجبكم https://t.co/qbO4foM7hM,ريجيكامب,,,,,comment,,,comment,comment,2.0
5996,30845,"""انفاذًا للأمر الملكي..<span class=""stance-tagging"">جامعة الملك سعود:</span>  بداية الاختبارات النهائية حضوريًا في 13 رمضان عند الساعة التاسعة صباحًا،وبداية الإجازة 24 رمضان.""",@SaudiNews50 اسال الله العظيم  ان يرزق كل من ساهم في السداد او نشر ويفتح له ابواب الخير والرزق ويبارك له في ماله وولده ويشفي مريضه وينور له حياته واخرته ضروفهم صعببه وايقاف خدمات وأحوالهم لاتسر تكفون ياهل الخير وياهل الفزعة تصدقوابما تقدرون عليه  2022078514 https://t.co/OHDzSiykT6,جامعة الملك سعود:,,,,,comment,,,comment,comment,2.0
1876,2424,"""إتصال #الملك_سلمان بالرئيس #اردوغان وإبداء الرغبة ببقاء قنوات الحوار مفتوحة .. ووزير خارجية <span class=""stance-tagging"">#السعودية</span> يقول أن علاقات بلاده مع #تركيا طيبة .. لهو أمر إيجابي .. وقف تدهور العلاقات كمرحلة أولى بين هذين البلدين تحديدا أمر في غاية الأهمية .. https://t.co/FMS3qBGs1z""",@jaberalharmi تبقى الحملة الشعبية لمقاطعة المنتجات التركية مستمرة الى ان يخضع التركي بشكل تام ويعرف حجمه امام دول الخليج والسعودية..,السعودية,support,,support,,support,,,,support,0.0
6811,31934,"""عاجل 🔴  .  . <span class=""stance-tagging"">وزير الاتصالات</span> :   المملكة العربية السعودية اليوم في المرتبة الثانية عالمياً في تقنية 5 جي. .  . السعودية 🇸🇦🇸🇦""",@AJELNEWS24 الثانيه من السوء 👏🏻,وزير الاتصالات,,,,,deny,,,deny,deny,1.0
2539,3321,"""لا صحة لما يتداول عن اعتبار <span class=""stance-tagging"">زيت الزيتون</span> أفضل مرطب للبشرة، حيث أن استخدامه على الجلد قد يتسبب في بعض أنواع الحساسية وتكاثر الفطريات المسماة بـ (مالاسيزيا) والتي تتسبب بظهور بقع على البشرة.  #الغذاء_والدواء https://t.co/HznU8Ujl1m""",@Saudi_FDA @abus3oud افضل زيت زيت الارغان للبشره اشتريه من وحده في جده يهبل واصلي اعرفها معرفه شخصيه,زيت الزيتون,comment,,,comment,comment,,,,comment,2.0
5565,30230,"""التعليم تعرب عن شكرها <span class=""stance-tagging"">للسيد مقتدى الصدر</span> وتؤكد حرصها على مستقبل أبنائها الطلبة  https://t.co/7pWRC9MGIg https://t.co/SOofol6voe""",@mohesr_gov_iq ابلع مقتدى اصلاً الرسوب احسن من تدخلك 🤤,للسيد مقتدى الصدر,,,,,deny,,,deny,deny,1.0
3093,3912,"""<span class=""stance-tagging"">#الهلال_النصر</span> توقعاتي للمباراه ... نار ياحبيبي نار .... هنا ملك التوقعات ...... أخطئ مره واصيب الف مره 🙏🙏🙏🙏 https://t.co/J0lVJw2MlT""",@Hassanalsobhan مسير على كل النتايج من ٢ لين ٥ ويقول ملك التوقعات  زي الاهلي والشباب يقول فوز وممكن تعادل,الهلال النصر,comment,,deny,comment,,,,,comment,2.0
1281,1753,"""لن يقر <span class=""stance-tagging"">للإمارات</span> قرار حتى يتم تحويل سقطرى امارة ثامنة وقاعدة اسرائيلية !!!! سقطرى بمثابة الكنز المفقود بالنسبة <span class=""stance-tagging"">للإمارات</span> ولهذا ترمي بكامل ثقلها هناك لتفوز بمناجم الجزيرة وسط صمت مخزي تشير ان هادي عقد صفقة بيع الجزيرة بعد فشل دور بحاج #سقطرى_احتلال_اماراتي_اسراييلي https://t.co/nGUEL5MXGC""",@anesmansory الجزيرة ليست ملك لعائلة هادي حتى يبيعها او يتصرف بها للغير وهذا لا يسقط خيانته بالصمت عن سقطرى #هادي_خاين_ياخبره,للإمارات,comment,,support,,comment,,,,comment,2.0
6554,31561,"""صورة / <span class=""stance-tagging"">النائب سلمان الحليلة</span> يسقط على الارض جراء التلاسن والتشابك بالايدي مع النائب صالح الشلاحي. https://t.co/BuVQ84y5De""",@Almajlliss طاح من عينه ربعه  والحين طاح بالمجلس,النائب سلمان الحليلة,,,,,deny,,,deny,deny,1.0
6700,31778,"""عاجل 🔴  .  . <span class=""stance-tagging"">وزير الاتصالات</span> :   المملكة العربية السعودية اليوم في المرتبة الثانية عالمياً في تقنية 5 جي. .  . السعودية 🇸🇦🇸🇦""",@AJELNEWS24 ياليت يقارن بالتكلفه ويترك الامور الثانيه,وزير الاتصالات,,,,,deny,,,deny,deny,1.0
2776,3566,"""بعد معاناة طويلة تمكن <span class=""stance-tagging"">الشيخ عبدالمجيد الزنداني</span> من مغادرة #السعودية ووصل إلى #تركيا بفضل الله تعالى. https://t.co/gwk3B6diPE""",@drassagheer الله اكبر ولله الحمد.  اللهم لك الحمد كما ينبغي لجلال وجهك وعظيم سلطانك.,الشيخ عبدالمجيد الزنداني,support,,,support,support,,,,support,0.0
4105,10050,"""<span class=""stance-tagging"">#البطل_عامر_الشهري</span> لله دره من شهمٍ وشجاع  ولولم يكن في كفه غير روحه لجاد بها فليتق الله سائله https://t.co/68NkUdo9mg""",@AMHAlShareef #البطل_عامر_الشهري   يستاهل كل خير كفوووو اسال الله ان يجعلها بميزان حسناتة  جزاه الله خير الجزاء,البطل عامر الشهري,,,,,support,,,support,support,0.0
5022,11282,"""صاحب السمو الملكي <span class=""stance-tagging"">الأمير محمد بن سلمان،</span> ولي العهد ورئيس مجلس إدارة شركة نيوم، يعلن عن ثورة حضارية تضع الإنسان أولا: """"اليوم، بصفتي رئيس مجلس إدارة نيوم أقدم لكم """"ذا لاين"""""""".  شاهد إعلان الإطلاق عبر https://t.co/eMbgke48am.  مرحبا بالمستقبل الجديد وأهلا بـ""""ذا لاين"""".  #مشروع_ذا_لاين https://t.co/CZ6yYiFsw4""",@NEOM فعلا ثورة حضارية ومتقدمة صنعها سيدي ولي العهد لاجيالنا القادمة #مشروع_ذا_لاين,الأمير محمد بن سلمان،,,,,,support,,,support,support,0.0
2140,2705,"""كلمة <span class=""stance-tagging"">#خادم_الحرمين_الشريفين</span> حفظه الله في افتتاح قمة قادة دول مجموعة العشرين.. استحضار لكل التفاصيل المهمة من أجل عالم يحفل بالنماء والتقدم..  #مجموعة_العشرين_في_السعودية https://t.co/kJWRpbwf1N""",@Badermasaker حفظه الله ورعاه ويطول بعمره ابوفهد,خادم الحرمين الشريفين,support,,support,,support,,,,support,0.0
4901,11153,"""صاحب السمو الملكي <span class=""stance-tagging"">الأمير محمد بن سلمان،</span> ولي العهد ورئيس مجلس إدارة شركة نيوم، يعلن عن ثورة حضارية تضع الإنسان أولا: """"اليوم، بصفتي رئيس مجلس إدارة نيوم أقدم لكم """"ذا لاين"""""""".  شاهد إعلان الإطلاق عبر https://t.co/eMbgke48am.  مرحبا بالمستقبل الجديد وأهلا بـ""""ذا لاين"""".  #مشروع_ذا_لاين https://t.co/CZ6yYiFsw4""",@NEOM خطوه جميله وفق الله سيد ولي العهد لخدمة الله ثم الملك والوطن كما كنت اتمنا تكون المدينه بسم عربي على غرار القيروان و بغداد فتكون مثلا مدينة المعرفه او مدينة علم او مدينة المستقبل او مدينة وادي الحياه على غرار وادي السيلكون,الأمير محمد بن سلمان،,,,,,support,,,support,support,0.0
824,1278,"""أكدت خلال مشاركتي في قمة قادة مجموعة العشرين التي تحضرها جميع المنظمات الدولية الرئيسية أن <span class=""stance-tagging"">الإمارات</span> ستظل داعمة لكافة المبادرات الدولية المشتركة ..ولكافة السياسات والمشاريع التي تضمن بناء مستقبل مستدام للأجيال القادمة..وشكرنا الجزيل للتنظيم العالمي الرائع للقمة من المملكة الشقيقة https://t.co/zRHU7aFPdo""",@HHShkMohd نحن كسعوديين فخورين بمشاركة الإمارات العربية المتحدة في هذه القمة,الإمارات,support,,,,support,,,,support,0.0
1169,1637,"""شيء لا يفهمه <span class=""stance-tagging"">زيدان</span>.. لا يمكن حسم اللقب باستراتيجية الموسم الماضي  هذا الموسم لا يشبه """"ختام الموسم الماضي"""".. لا يمكن الرهان فقط على الدفاع حتى انهيار الخصوم بدنياً.  ليس نفس تراكم مباريات الموسم الماضي.. ولا الحالة البدنية والذهنية ذات الحالة للخصوم، فالموسم ببدايته والجميع متحمس. https://t.co/ball7Ik4yJ""",@mohammedawaad نفسي اشوف الفريق مكتمل لمباراة واحده فقط حتى نقدر نقدر الوضع نقطة ثمينة في ملعب صعب وضد فريق منظم فياريال اهدر فرصة الفوز على فريق كان بالمتناول,زيدان,comment,,deny,,comment,,,,comment,2.0
5695,30402,"""الرئيس المصري <span class=""stance-tagging"">عبد الفتاح السيسي</span>: """"لا يستطيع أحد أخذ نقطة مياه من مصر وإلا ستشهد المنطقة عدم استقرار لا يتصوره أحد""""""",@bbcarabicalerts لو لا المنبع لا وجد النيل اختصر و تتفاوض علي شي يرضي الجميع,عبد الفتاح السيسي,,,,,deny,,,deny,deny,1.0
1257,1729,"""أكبر كذبة أكبر نحشة عن المنتخب إلى متى هذه الأساليب كل هذا لأجل النصر !! والله عيب عيب. واليوم يرفع حديد 🤔 <span class=""stance-tagging"">#الهلال_النصر</span> https://t.co/eylxJGijwJ""",@aiinawi33 اللي عاجبني بالموضوع خوفكم وطقاعتكم من سالم ههههههه,الهلال النصر,comment,,support,,comment,,,,comment,2.0
5196,11478,"""<span class=""stance-tagging"">#ولي_العهد</span> يطلق  #مشروع_ذا_لاين في  #نيوم، الذي يعد نموذجاً لما يمكن أن تكون عليه المجتمعات الحضرية مستقبلا، ومخططاً يكفل إيجاد التوازن للعيش مع الطبيعة.  #whatisTHELINE    https://t.co/rrIp4M0LVQ""",@KSAMOFA @amalalmoallimi واللي يحبون يصيعون بالسيارات يقعدون محسورين؟ 😜,ولي العهد,,,,,comment,,,comment,comment,2.0
4548,10688,"""<span class=""stance-tagging"">وديمه</span> في غرفة العمليات ( عملية في القلب ) اللهم أني استودعتك بنتي يا ذا الجلال والإكرام اللهم أحفظها وسهل عليها أمرها يا رب العالمين 😔🤲 https://t.co/qETRT6euRc""",وديمه في غرفة العمليات ( عملية في القلب ) اللهم أني استودعتك بنتي يا ذا الجلال والإكرام اللهم أحفظها وسهل عليها أمرها يا رب العالمين 😔🤲 https://t.co/qETRT6euRc,وديمه,,,,,comment,,,comment,comment,2.0
2907,3701,"""هنا قمة طويق.. وطموح يعانق السحاب 🇸🇦🌹🇸🇦 #كلمه_<span class=""stance-tagging"">محمد_بن_سلمان</span>_G20 https://t.co/qpcnSdo9Ck""",@AzizbagBag ﴿ وَذَكِّرْ فَإِنَّ الذِّكْرَىٰ تَنفَعُ الْمُؤْمِنِينَ ﴾  - سُبحان الله . - الحَمد لله . - لا إله إلا الله . - الله أكبر . - أستغفِرُ الله . - لا حَول و لا قوة إلا بالله . - سُبحان الله و بِحمده . - سُبحان الله العَظيم . - اللهم صل و سلم على نبينا محمد,محمد بن سلمان,comment,,comment,comment,,,,,comment,2.0
2622,3407,"""عاجل : مسحة <span class=""stance-tagging"">محمد صلاح</span> اليوم سلبية .... الحمد لله ❤️ https://t.co/TXpyzSAjeQ""",@lfc_belaraby اللهم لك الحمد الف سلامه عليك يا لورد غصب عن الجميع,محمد صلاح,support,,support,support,,,,,support,0.0
3302,4171,"""ستنتهي حرب <span class=""stance-tagging"">اليمن</span> عاجلاً ام آجلاً  وسأزور <span class=""stance-tagging"">اليمن</span> ❤ بكل شوق   #من_العراق_هنا_<span class=""stance-tagging"">اليمن</span>""",@souad_alqisi امين رب العالمين . وسيعلم الذي ظَلموا اي منقلب ينقلبون,اليمن,comment,,comment,,support,,,,comment,2.0
1251,1723,"""<span class=""stance-tagging"">فياريال</span> يلعب على الصدارة وعلى أرضه كما أن مدريد يعاني من إصابات وظروف إستثنائية ونقص بالجودة أصلاً حتى لو إكتمل الفريق.  المدريديستا كانوا يتوقعون الهزيمة لكنهم الآن يصيحون بسبب التعادل!  طبعاً كجماهير لم ولن نرضى إلا بأداء ممتع ومقنع وسنظل ننتقد لكن يجب أن نكون منطقيين في نقدنا.""",@El_Dehmi بلا يلعب على الصداره بلا هم  ايمري جبان جداً لو كان اي مدرب اخر غيره الليله كان انتهت بخساره فادحه  لقائنا يوم مباراة انتر وسترى بعينك انه فريقنا منتهى,فياريال,comment,,comment,,comment,,,,comment,2.0
980,1442,"""<span class=""stance-tagging"">الإمارات</span> تحتفل بتصهين ديزل الابتذال في""""تل دبي""""مع ممثل إسرائيلي https://t.co/x6AAc6Rg0D""",@waiel65 لا اعرف من هم أشد خطراً على المنطقه اهم صهاينة تل ابيب ام صهاينة العرب,الإمارات,deny,,deny,,deny,,,,deny,1.0
